"ENTREZ_ID","KEGG_ID"
942,"map04514, map04620, map04672, map04940, map05320, map05322, map05323, map05330, map05332, map05416"
943,"map04060"
944,"map04060"
945,"map04640"
947,"map04514, map04640"
948,"map03320, map04145, map04512, map04640, map04920, map04975, map05144"
949,"map04145, map04975, map04976, map04977, map05160"
950,"map04142"
951,"map04640"
952,"map00760, map01100, map04020, map04640, map04970, map04972"
953,"map00230, map00240"
954,"map00230"
955,"map00230, map00240"
956,"map00230, map00240"
957,"map00230, map00240"
958,"map04060, map04514, map04620, map04672, map05144, map05145, map05310, map05320, map05322, map05330, map05340, map05416"
959,"map04060, map04514, map04660, map04672, map05144, map05145, map05310, map05320, map05322, map05330, map05340, map05416"
960,"map04512, map04640, map05131"
961,"map04512"
962,"map04650"
965,"map04514"
966,"map04610, map04640"
967,"map04142"
968,"map04142"
970,"map04060"
971,"map04662"
972,"map04612"
973,"map04662, map05340"
974,"map04662"
975,"map04662, map05144, map05160"
978,"map00240, map00983, map01100"
983,"map04110, map04114, map04115, map04540, map04914"
988,"map03040"
990,"map04110"
991,"map04110, map04114, map04120"
993,"map04110, map04914"
994,"map04010, map04110, map04914"
995,"map04110, map04114, map04914"
996,"map04110, map04114, map04120, map04914"
997,"map04120"
998,"map04010, map04062, map04144, map04360, map04370, map04510, map04520, map04530, map04660, map04666, map04670, map04722, map04810, map04912, map05100, map05120, map05130, map05131, map05200, map05211, map05212"
999,"map04514, map04520, map05100, map05130, map05200, map05213, map05216, map05218, map05219"
1000,"map04514, map05412"
1001,"map04514"
1002,"map04514"
1003,"map04514, map04670"
1013,"map04514"
1017,"map04110, map04114, map04115, map04914, map05200, map05215, map05222"
1019,"map04110, map04115, map04530, map04660, map05200, map05212, map05214, map05218, map05219, map05220, map05222, map05223"
1020,"map04360, map05010"
1021,"map04110, map04115, map05200, map05212, map05214, map05218, map05220, map05222, map05223"
1022,"map03420, map04110"
1026,"map04012, map04110, map04115, map05160, map05200, map05214, map05215, map05218, map05219, map05220"
1027,"map04012, map04110, map05200, map05215, map05220, map05222"
1028,"map04110"
1029,"map04110, map04115, map05200, map05212, map05214, map05218, map05219, map05220, map05223"
1030,"map04110, map04350, map05200, map05222"
1031,"map04110"
1032,"map04110"
1036,"map00270, map00430, map01100"
1040,"map00564, map01100, map04070"
1050,"map05200, map05221"
1056,"map00100, map00561, map01100, map04972, map04975"
1066,"map00983, map01100"
1069,"map03420"
1072,"map04360, map04666, map04810"
1073,"map04360, map04666, map04810"
1075,"map04142"
1080,"map02010, map04971, map04972, map04976, map05110"
1081,"map04080, map04912, map05320"
1101,"map04510, map04512"
1103,"map00564"
1109,"map00120, map00140, map00980, map01100"
1111,"map04110, map04115"
1116,"map00520"
1118,"map00520"
1119,"map00564, map01100"
1120,"map00564, map01100"
1128,"map04020, map04080, map04810"
1129,"map04020, map04080, map04810"
1131,"map04020, map04080, map04810, map04970, map04971, map04972"
1132,"map04080, map04810"
1133,"map04020, map04080, map04810"
1134,"map04080"
1135,"map04080"
1136,"map04080"
1137,"map04080"
1138,"map04080"
1139,"map04020, map04080"
1140,"map04080"
1141,"map04080"
1142,"map04080"
1143,"map04080"
1144,"map04080"
1145,"map04080"
1146,"map04080"
1147,"map04010, map04062, map04210, map04380, map04620, map04621, map04622, map04623, map04660, map04662, map04920, map05120, map05131, map05142, map05145, map05160, map05200, map05212, map05215, map05220, map05221, map05222"
1152,"map00330, map01100"
1154,"map04630"
1158,"map00330, map01100"
1159,"map00330, map01100"
1160,"map00330, map01100"
1161,"map03420, map04120"
1163,"map05200, map05222"
1173,"map04144, map05016"
1174,"map04142"
1175,"map04144, map05016"
1176,"map04142"
1179,"map04740, map04972"
1188,"map04966"
1200,"map04142"
1201,"map04142"
1203,"map04142"
1207,"map03013"
1208,"map04975"
1211,"map04142, map04144, map05016, map05100"
1212,"map04142, map04144, map05016, map05100"
1213,"map04142, map04144, map05016, map05100"
1215,"map04614"
1230,"map04060, map04062"
1232,"map04060, map04062"
1233,"map04060, map04062"
1234,"map04060, map04062, map04144, map05145"
1235,"map04060, map04062"
1236,"map04060, map04062"
1237,"map04060, map04062"
1241,"map04080"
1244,"map02010, map04976"
1258,"map04740, map04744"
1259,"map04744"
1261,"map04740"
1262,"map04740"
1268,"map04080"
1269,"map04080"
1270,"map04060, map04630"
1271,"map04060, map04630"
1272,"map04514"
1277,"map04510, map04512, map04974, map05146"
1278,"map04510, map04512, map04974, map05146"
1280,"map04510, map04512, map04974, map05146"
1281,"map04510, map04512, map04974, map05146"
1282,"map04510, map04512, map04974, map05146, map05200, map05222"
1284,"map04510, map04512, map04974, map05146, map05200, map05222"
1286,"map04510, map04512, map04974, map05146, map05200, map05222"
1287,"map04510, map04512, map04974, map05146, map05200, map05222"
1288,"map04510, map04512, map04974, map05146, map05200, map05222"
1289,"map04510, map04512, map04974, map05146"
1290,"map04510, map04512, map04974, map05146"
1291,"map04510, map04512, map04974"
1292,"map04510, map04512, map04974"
1293,"map04510, map04512, map04974"
1297,"map04974"
1298,"map04974"
1299,"map04974"
1301,"map04510, map04512, map04974, map05146"
1302,"map04510, map04512, map04974, map05146"
1303,"map04974"
1306,"map04974"
1308,"map04974"
1311,"map04145, map04350, map04510, map04512, map05144"
1312,"map00140, map00350, map01100"
1326,"map04010, map04620, map04660"
1327,"map00190, map01100, map04260, map05010, map05012, map05016"
1329,"map00190, map01100, map04260, map05010, map05012, map05016"
1337,"map00190, map01100, map04260, map05010, map05012, map05016"
1339,"map00190, map01100, map04260, map05010, map05012, map05016"
1340,"map00190, map01100, map04260, map05010, map05012, map05016"
1345,"map00190, map01100, map04260, map05010, map05012, map05016"
1346,"map00190, map04260, map05010, map05012, map05016"
1347,"map00190, map04260, map05010, map05012, map05016"
1349,"map00190, map01100, map04260, map05010, map05012, map05016"
1350,"map00190, map01100, map04260, map05010, map05012, map05016"
1351,"map00190, map01100, map04260, map05010, map05012, map05016"
1352,"map00190, map00860, map01100"
1353,"map00190, map01100"
1355,"map00190, map00860, map01100"
1356,"map00860"
1357,"map04972, map04974"
1358,"map04972, map04974"
1359,"map04614, map04972, map04974"
1360,"map04972, map04974"
1361,"map04610, map04972, map04974"
1363,"map04940"
1364,"map04514, map04530, map04670, map05160"
1365,"map04514, map04530, map04670, map05160"
1366,"map04514, map04530, map04670, map05160"
1371,"map00860, map01100"
1373,"map00250, map00330, map00910, map01100"
1374,"map00071, map03320, map04920"
1375,"map00071, map03320, map04920"
1376,"map00071, map03320"
1378,"map04610, map04640, map05140, map05144"
1380,"map04610, map04640, map04662"
1384,"map04146"
1385,"map04380, map04612, map04916, map04962, map05016, map05215"
1386,"map04010"
1387,"map04110, map04310, map04330, map04350, map04520, map04630, map04720, map04916, map05016, map05200, map05211, map05215"
1388,"map04141"
1392,"map04730"
1394,"map04080, map04730"
1395,"map04080"
1398,"map04010, map04012, map04062, map04510, map04666, map04722, map04810, map04910, map05100, map05131, map05200, map05211, map05220"
1399,"map04010, map04012, map04062, map04510, map04666, map04722, map04810, map04910, map05100, map05131, map05200, map05211, map05220"
1407,"map04710"
1408,"map04710"
1409,"map04141"
1410,"map04141"
1431,"map00020, map00630, map01100"
1432,"map04010, map04370, map04380, map04620, map04621, map04622, map04660, map04664, map04670, map04722, map04912, map04914, map05014, map05120, map05131, map05140, map05142, map05145, map05160"
1435,"map04060, map04380, map04640, map05323"
1436,"map04060, map04144, map04380, map04640, map05200"
1437,"map04060, map04630, map04640, map04650, map04660, map04664, map05146, map05323"
1438,"map04060, map04630, map04640, map05200"
1439,"map04060, map04210, map04630"
1440,"map04060, map04630, map04640, map05144"
1441,"map04060, map04630, map04640, map05200"
1442,"map04080, map04630"
1445,"map04062, map04722, map04810, map05120, map05131"
1452,"map04310, map04340"
1453,"map04340, map04540, map04710"
1454,"map04310, map04340, map04710"
1455,"map04340"
1456,"map04340"
1457,"map03008, map04310, map04520, map04530"
1459,"map03008, map04310, map04520, map04530"
1460,"map03008, map04310, map04520, map04530"
1462,"map04514"
1468,"map04964"
1469,"map04970"
1470,"map04970"
1471,"map04970"
1472,"map04970"
1473,"map04970"
1477,"map03015"
1478,"map03015"
1479,"map03015"
1487,"map04310, map04330, map05200, map05220"
1488,"map04310, map04330, map05200, map05220"
1489,"map04060, map04630"
1491,"map00260, map00270, map00450, map00910, map01100"
1493,"map04514, map04660, map05320, map05323"
1495,"map04520, map04530, map04670, map05100, map05200, map05213, map05412"
1496,"map04520, map04530, map04670, map05100, map05200, map05213, map05412"
1497,"map04142"
1499,"map04310, map04510, map04520, map04530, map04670, map04916, map05100, map05130, map05200, map05210, map05213, map05215, map05216, map05217, map05412"
1500,"map04520, map04670"
1503,"map00240, map01100"
1504,"map04972, map04974"
1506,"map04972, map04974"
1508,"map04142, map04612"
1509,"map04142"
1510,"map04142"
1511,"map04080, map04142, map04614, map05146, map05322"
1512,"map04142"
1513,"map04142, map04380, map04620, map05323"
1514,"map04142, map04145, map04612, map05323"
1515,"map04142"
1519,"map04142"
1520,"map04142, map04145, map04612"
